Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2026-08-21 15:12:58.790,0 days 00:56:36.405000,,378.5355555555555,0 days 00:00:00,11494.964329142857,316.3571437714286,8,99.0,False,0,interpolation,0.028710500103854817,6.746177022373932e-06,OnTrack,517.0119482636136,3800.4401185411803,537.0001096740965
2026-08-21 15:12:59.020,0 days 00:56:36.635000,,378.5355555555555,0 days 00:00:00.230000,11573.0,318.0,8,99.0,False,0,car,20.34444444444444,0.004780384289636463,OnTrack,622.7923077187756,4056.63043029509,537.003029618247
2026-08-21 15:12:59.088,0 days 00:56:36.703000,,378.5355555555555,0 days 00:00:00.298000,11573.241992937677,318.0,8,99.0,False,0,pos,26.349215570275906,0.006191340171532074,OnTrack,650.0,4123.0,537.0
2026-08-21 15:12:59.301,0 days 00:56:36.916000,16,378.5355555555555,0 days 00:00:00.511000,11574.0,318.0,8,99.0,False,0,car,45.16611111111111,0.010612792527666707,OnTrack,723.2156771111585,4303.212347087873,536.9790242444469
2026-08-21 15:12:59.509,0 days 00:56:37.124000,16,369.811111111111,0 days 00:00:00.719000,11614.114285714286,318.74285714285713,8,99.0,False,0,pos,63.587612410961974,0.014941338123777704,OnTrack,790.0,4468.0,537.0
2026-08-21 15:12:59.581,0 days 00:56:37.196000,16,366.79111111111104,0 days 00:00:00.791000,11628.0,319.0,8,99.0,False,0,car,69.97722222222222,0.01644272050077333,OnTrack,814.9243890902753,4529.05584974166,537.0299106454017
2026-08-21 15:12:59.781,0 days 00:56:37.396000,16,358.9022222222222,0 days 00:00:00.991000,11632.0,320.0,8,99.0,False,0,car,87.755,0.020620008793191865,OnTrack,887.0774899689434,4704.821015507319,537.1328647158622
2026-08-21 15:12:59.908,0 days 00:56:37.523000,16,354.3866643911111,0 days 00:00:01.118000,11636.082144914286,320.0,8,99.0,False,0,pos,99.04305554714277,0.02327239104651215,OnTrack,925.0,4797.0,537.0
2026-08-21 15:13:00.061,0 days 00:56:37.676000,16,348.9466666666666,0 days 00:00:01.271000,11641.0,320.0,8,99.0,False,0,car,112.64388888888888,0.026468212402577816,OnTrack,958.5782420019472,4878.552470105189,536.5518690867403
2026-08-21 15:13:00.308,0 days 00:56:37.923000,16,341.05638684444443,0 days 00:00:01.518000,11637.471427657143,320.0,8,99.0,False,0,pos,134.607392524621,0.03162903102371733,OnTrack,1019.0,5027.0,536.0
2026-08-21 15:13:00.341,0 days 00:56:37.956000,16,340.0022222222222,0 days 00:00:01.551000,11637.0,320.0,8,99.0,False,0,car,137.53277777777777,0.03231641601196377,OnTrack,1032.0949223208645,5059.438375852896,536.0510705410721
2026-08-21 15:13:00.581,0 days 00:56:38.196000,16,332.93555555555554,0 days 00:00:01.791000,11319.0,317.0,8,99.0,False,0,car,158.6661111111111,0.0372821674695763,OnTrack,1141.3531382225524,5330.949762923079,536.9479946459896
2026-08-21 15:13:00.608,0 days 00:56:38.223000,16,332.25305393777774,0 days 00:00:01.818000,11312.9249856,316.3249984,8,99.0,False,0,pos,161.01512471810543,0.03783412099053294,OnTrack,1149.0,5350.0,537.0
2026-08-21 15:13:00.821,0 days 00:56:38.436000,16,326.8688888888889,0 days 00:00:02.031000,11265.0,311.0,8,99.0,False,0,car,179.39944444444444,0.04215392994060942,OnTrack,1174.2098503760362,5416.701377041708,536.9750151008154
2026-08-21 15:13:00.848,0 days 00:56:38.463000,16,326.2013873066667,0 days 00:00:02.058000,11245.4249536,311.0,8,99.0,False,0,pos,181.73402511763976,0.042702492119513234,OnTrack,1179.0,5431.0,537.0
2026-08-21 15:13:00.981,0 days 00:56:38.596000,16,322.9133333333333,0 days 00:00:02.191000,11149.0,311.0,8,99.0,False,0,car,193.22166666666664,0.04540177158796483,OnTrack,1218.0067300476119,5548.287866291148,537.3558620484181
2026-08-21 15:13:01.108,0 days 00:56:38.723000,16,320.16166527999997,0 days 00:00:02.318000,11062.4812064,306.2374976,8,99.0,False,0,pos,204.0115908576912,0.04793710668792267,OnTrack,1260.0,5680.0,538.0
2026-08-21 15:13:01.141,0 days 00:56:38.756000,16,319.4466666666666,0 days 00:00:02.351000,11040.0,305.0,8,99.0,False,0,car,206.7772222222222,0.04858695391093397,OnTrack,1268.7385225363064,5709.271084760219,538.2073348700658
2026-08-21 15:13:01.301,0 days 00:56:38.916000,16,316.51333333333326,0 days 00:00:02.511000,10438.0,295.0,8,2.0,True,0,car,219.88833333333332,0.05166770402659264,OnTrack,1302.4293670964232,5833.222897552563,539.4892766550855
2026-08-21 15:13:01.348,0 days 00:56:38.963000,16,316.1347217066666,0 days 00:00:02.558000,10329.6061024,290.4468688,8,1.7062496,True,0,pos,223.59343160860223,0.052538300106766814,OnTrack,1314.0,5876.0,540.0
2026-08-21 15:13:01.621,0 days 00:56:39.236000,16,313.93555555555554,0 days 00:00:02.831000,9700.0,264.0,8,0.0,True,0,car,243.35499999999996,0.05718172457258511,OnTrack,1395.5355949619525,6167.841646193349,543.9044800964688
2026-08-21 15:13:01.628,0 days 00:56:39.243000,16,314.0113895822222,0 days 00:00:02.838000,9708.24257536,262.93249024,8,0.0,True,0,pos,243.81007328222688,0.0572886542641248,OnTrack,1397.0,6173.0,544.0
2026-08-21 15:13:01.948,0 days 00:56:39.563000,16,317.4780562488889,0 days 00:00:03.158000,10085.04257536,214.13249024,8,0.0,True,0,pos,262.05670970707945,0.061576111429262226,OnTrack,1431.0,6278.0,547.0
2026-08-21 15:13:02.021,0 days 00:56:39.636000,16,318.2688888888889,0 days 00:00:03.231000,10171.0,203.0,8,0.0,True,0,car,265.9105555555555,0.06248165909359112,OnTrack,1444.8538690319683,6313.543151865201,547.0174706448413
